2013/1/1,2
2013/1/7,1
2013/1/19,1
2013/1/21,2
2013/1/23,2
2013/1/25,1
2013/1/26,3
2013/2/2,1
2013/2/3,1
2013/2/7,1
2013/2/9,1
2013/2/11,2
2013/2/12,1
2013/2/19,1
2013/2/21,1
2013/2/22,1
2013/2/23,1
2013/2/24,1
2013/3/2,1
2013/3/3,2
2013/3/4,1
2013/3/5,1
2013/3/7,1
2013/3/10,1
2013/3/11,1
2013/3/13,2
2013/3/14,1
2013/3/16,1
2013/3/17,2
2013/3/21,2
2013/3/22,1
2013/3/30,1
2013/3/31,1
2013/4/6,1
2013/4/7,2
2013/4/9,1
2013/4/10,1
2013/4/14,2
2013/4/18,1
2013/4/21,1
2013/4/22,2
2013/4/24,1
2013/4/25,1
2013/4/27,1
2013/4/28,3
2013/5/2,1
2013/5/4,1
2013/5/5,1
2013/5/6,1
2013/5/10,1
2013/5/11,3
2013/5/12,2
2013/5/13,1
2013/5/15,1
2013/5/16,1
2013/5/18,1
2013/5/19,2
2013/5/20,1
2013/5/23,1
2013/5/24,1
2013/5/25,2
2013/5/28,1
2013/5/29,1
2013/5/31,1
2013/6/1,2
2013/6/2,3
2013/6/7,1
2013/6/9,1
2013/6/10,2
2013/6/14,1
2013/6/15,3
2013/6/16,1
2013/6/21,3
2013/6/22,2
2013/6/23,5
2013/6/24,1
2013/6/25,1
2013/6/27,1
2013/6/28,1
2013/6/29,1
2013/6/30,2
2013/7/1,1
2013/7/4,2
2013/7/6,2
2013/7/7,4
2013/7/9,2
2013/7/11,1
2013/7/12,2
2013/7/13,4
2013/7/14,2
2013/7/17,1
2013/7/19,2
2013/7/20,1
2013/7/21,1
2013/7/24,1
2013/7/25,1
2013/7/26,2
2013/7/29,1
2013/7/30,1
2013/8/2,2
2013/8/3,1
2013/8/4,2
2013/8/6,2
2013/8/7,1
2013/8/9,1
2013/8/10,1
2013/8/11,2
2013/8/13,1
2013/8/14,1
2013/8/17,1
2013/8/18,4
2013/8/19,1
2013/8/20,1
2013/8/25,4
2013/9/5,1
2013/9/7,2
2013/9/10,1
2013/9/11,1
2013/9/12,2
2013/9/14,1
2013/9/15,3
2013/9/16,1
2013/9/17,4
2013/9/18,1
2013/9/19,1
2013/9/20,2
2013/9/21,1
2013/9/22,3
2013/9/24,1
2013/9/25,1
2013/9/27,1
2013/9/29,1
2013/10/2,1
2013/10/5,2
2013/10/6,2
2013/10/9,1
2013/10/12,1
2013/10/13,1
2013/10/20,2
2013/10/21,1
2013/10/26,2
2013/10/27,4
2013/10/29,1
